       1.029190566116e-05       6.219516525830e+01 
       2.311899089110e-05       1.226249123068e+02 
       3.599050663876e-05       1.872413908867e+02 
       4.894079423340e-05       2.512911548625e+02 
       6.200475566613e-05       3.147127581266e+02 
       7.521816221324e-05       3.791933002550e+02 
       8.861797281439e-05       4.439844382473e+02 
       1.022426664087e-04       5.093709617630e+02 
       1.161325924642e-04       5.755690534741e+02 
       1.303303439702e-04       6.429240276477e+02 
       1.448811571681e-04       7.115645874478e+02 
       1.598333422446e-04       7.818762981341e+02 
       1.752387490448e-04       8.539272120032e+02 
       1.911532715135e-04       9.280831093430e+02 
       2.076373939554e-04       1.004617710315e+03 
       2.247567811884e-04       1.083822132625e+03 
       2.425829130874e-04       1.165958818051e+03 
       2.611937616811e-04       1.251422385605e+03 
       2.806745055998e-04       1.340542442161e+03 
       3.011182719762e-04       1.433720572976e+03 
       3.226268895026e-04       1.531365798523e+03 
       3.453116278689e-04       1.633984144469e+03 
       3.692938878676e-04       1.742038290414e+03 
       3.947057928048e-04       1.856085825285e+03 
       4.216906154826e-04       1.976672092326e+03 
       4.504029563799e-04       2.104434573558e+03 
       4.810085689587e-04       2.240001881321e+03 
       5.136837095926e-04       2.384046806555e+03 
       5.486138762333e-04       2.537269436758e+03 
       5.859917970605e-04       2.700368750328e+03 
       6.260145449759e-04       2.874041420062e+03 
       6.688796935630e-04       3.058954192292e+03 
       7.147805015360e-04       3.255739058921e+03 
       7.639002182004e-04       3.464932065907e+03 
       8.164057368317e-04       3.686983709591e+03 
       8.724409702033e-04       3.922207819752e+03 
       9.321204554001e-04       4.170775399789e+03 
       9.955237785775e-04       4.432660582758e+03 
       1.062691410950e-03       4.707661316073e+03 
       1.133622445432e-03       4.995385574020e+03 
       1.208274524304e-03       5.295254308405e+03 
       1.286565985801e-03       5.606524896185e+03 
       1.368379985915e-03       5.928285303271e+03 
       1.453570129298e-03       6.259529132201e+03 
       1.541967012804e-03       6.599237774355e+03 
       1.633385062455e-03       6.946277145219e+03 
       1.727629116306e-03       7.299541686300e+03 
       1.824500339361e-03       7.657910510533e+03 
       1.923801214017e-03       8.020355299518e+03 
       2.025339497835e-03       8.385811854143e+03 
       2.128931159309e-03       8.753394324291e+03 
       2.234402383494e-03       9.122200878584e+03 
       2.341590784670e-03       9.491456039075e+03 
       2.450345979500e-03       9.860440899469e+03 
       2.560529670259e-03       1.022847093893e+04 
       2.672015371899e-03       1.059503152660e+04 
       2.784687895300e-03       1.095957721431e+04 
       2.898442676559e-03       1.132167558474e+04 
       3.013185021154e-03       1.168092665998e+04 
       3.128829313705e-03       1.203699329196e+04 
       3.245298229156e-03       1.238956125597e+04 
       3.362521969534e-03       1.273838782978e+04 
       3.480437541567e-03       1.308328449531e+04 
       3.598988083885e-03       1.342398748038e+04 
       3.718122247895e-03       1.376039738007e+04 
       3.837793633188e-03       1.409234757879e+04 
       3.957960276189e-03       1.441976445103e+04 
       4.078584189440e-03       1.474247545108e+04 
       4.199630948112e-03       1.506044695334e+04 
       4.321069319973e-03       1.537367236614e+04 
       4.442870934939e-03       1.568202697309e+04 
       4.565009990389e-03       1.598554348771e+04 
       4.687462988610e-03       1.628407627743e+04 
       4.810208502986e-03       1.657773022603e+04 
       4.933226969811e-03       1.686643683101e+04 
       5.056500502888e-03       1.715024649180e+04 
       5.180012728359e-03       1.742914880071e+04 
       5.303748637482e-03       1.770309944296e+04 
       5.427694455305e-03       1.797219081877e+04 
       5.551837523422e-03       1.823638734944e+04 
       5.676166195206e-03       1.849575569161e+04 
       5.800669742101e-03       1.875033725401e+04 
       5.925338269703e-03       1.900005799533e+04 
       6.050162642535e-03       1.924509800651e+04 
       6.175134416532e-03       1.948540899370e+04 
       6.300245778371e-03       1.972108061128e+04 
       6.425489490890e-03       1.995206510974e+04 
       6.550858843930e-03       2.017849347216e+04 
       6.676347609993e-03       2.040033011200e+04 
       6.801950004210e-03       2.061763288844e+04 
       6.927660648145e-03       2.083055799773e+04 
       7.053474537037e-03       2.103900180933e+04 
       7.179387010110e-03       2.124303742979e+04 
       7.305393723632e-03       2.144283210932e+04 
       7.431490626450e-03       2.163826693176e+04 
       7.557673937737e-03       2.182943904312e+04 
       7.683940126723e-03       2.201645488247e+04 
       7.810285894235e-03       2.219937711349e+04 
       7.936708155840e-03       2.237819077372e+04 
       8.063204026455e-03       2.255279278952e+04 
       8.189770806262e-03       2.272348088466e+04 
       8.316405967832e-03       2.289024369057e+04 
       8.443107144309e-03       2.305302094104e+04 
       8.569872118584e-03       2.321193652582e+04 
       8.696698813351e-03       2.336698622228e+04 
       8.823585281970e-03       2.351834681849e+04 
       8.950529700063e-03       2.366589438774e+04 
       9.077530357777e-03       2.380972649917e+04 
       9.204585652654e-03       2.394991431297e+04 
       9.331694083062e-03       2.408646732729e+04 
       9.458854242126e-03       2.421947999059e+04 
       9.586064812125e-03       2.434892056911e+04 
       9.713324559316e-03       2.447490656635e+04 
       9.840632329143e-03       2.459743379723e+04 
       9.967987041808e-03       2.471656991063e+04 
       1.009538768816e-02       2.483233243275e+04 
       1.022283332591e-02       2.494479008905e+04 
       1.035032307606e-02       2.505395602093e+04 
       1.047785611969e-02       2.515988557947e+04 
       1.060543169487e-02       2.526257221140e+04 
       1.073304909390e-02       2.536213426544e+04 
       1.086070766061e-02       2.545857175949e+04 
       1.098840678799e-02       2.555192215454e+04 
       1.111614591592e-02       2.564218271012e+04 
       1.124392452903e-02       2.572944035567e+04 
       1.137174215479e-02       2.581371334432e+04 
       1.149959836166e-02       2.589508566707e+04 
